kode_usul,kodeCabang,nama_usul,initial,tipe,jumlah_kemunculan,keyakinan,alasan
,037,,SLO,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,030,,SMG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,003,,SMH,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,022,,SPG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-SRA,061,ULS-SRA,SRA,CABANG,1,TINGGI,Satu-satunya TIPE di histori bersih (1x kemunculan)
,048,,SSR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,004,,STR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,013,,TGR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,009,,TNA,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,074,,TPI,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-TPK,019,ULS-TPK,TPK,CABANG,3,TINGGI,Satu-satunya TIPE di histori bersih (3x kemunculan)
,015,,VET,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,046,,YOG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
KP-ADP,999,KP-ADP,ADP,KANTOR_PUSAT,1,TINGGI,"Ditemukan di histori (1x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
